,Вакансия,Ссылка,ЗП от,ЗП до,валюта,Источник
0,Программист Perl / Python,https://www.superjob.ru/vakansii/programmist-perl-32783088.html?search_id=94148c0a-1227-11ea-be21-b6a59234af59&vacancyShouldHighlight=true,45000,45000,₽,SuperJob.ru
1,Аналитик Python,https://www.superjob.ru/vakansii/analitik-python-33087323.html,,,,SuperJob.ru
2,Разработчик Python,https://www.superjob.ru/vakansii/razrabotchik-python-32759255.html,,,,SuperJob.ru
3,Программист на python,https://www.superjob.ru/vakansii/programmist-na-python-31035766.html,,,,SuperJob.ru
4,Специалист программирования Python,https://www.superjob.ru/vakansii/specialist-programmirovaniya-python-33145142.html,,,,SuperJob.ru
5,Программист Python,https://www.superjob.ru/vakansii/programmist-python-32660913.html,,,,SuperJob.ru
6,Администратор тестовых сред (ведущий инженер),https://www.superjob.ru/vakansii/administrator-testovyh-sred-32720267.html,,,,SuperJob.ru
7,Финансовый контролер,https://www.superjob.ru/vakansii/finansovyj-kontroler-32720184.html,,,,SuperJob.ru
8,Старший сетевой инженер ЦОД,https://www.superjob.ru/vakansii/starshij-setevoj-inzhener-cod-32585824.html,85000,,₽,SuperJob.ru
9,Web-разработчик React,https://www.superjob.ru/vakansii/web-razrabotchik-react-32675674.html,,,,SuperJob.ru
10,Тестировщик программного обеспечения,https://www.superjob.ru/vakansii/testirovschik-programmnogo-obespecheniya-32202847.html,,,,SuperJob.ru
11,Учитель / Преподаватель информатики,https://www.superjob.ru/vakansii/uchitel-33069527.html,,,,SuperJob.ru
12,Системный администратор Linux,https://www.superjob.ru/vakansii/sistemnyj-administrator-linux-28400989.html,,,,SuperJob.ru
13,Старший инженер по тестированию,https://www.superjob.ru/vakansii/starshij-inzhener-po-testirovaniyu-32316735.html,,,,SuperJob.ru
14,Инженер Devops Stream,https://www.superjob.ru/vakansii/inzhener-devops-stream-32883861.html,,,,SuperJob.ru
15,Reverse Engineer,https://www.superjob.ru/vakansii/reverse-engineer-32672261.html,170000,,₽,SuperJob.ru
16,Системный администратор,https://www.superjob.ru/vakansii/sistemnyj-administrator-33002535.html,,,,SuperJob.ru
17,Системный инженер,https://www.superjob.ru/vakansii/sistemnyj-inzhener-32716975.html,,,,SuperJob.ru
18,Разработчик Delphi,https://www.superjob.ru/vakansii/razrabotchik-delphi-30126438.html,45000,,₽,SuperJob.ru
19,Специалист по Data Science,https://www.superjob.ru/vakansii/specialist-po-data-science-33100866.html,172000,172000,₽,SuperJob.ru
